1,group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,0,4,0.0541,0.8911,-0.234,0.3421,FALSE,Very Small (0.07),0.2586,0.661,0.0614
1,2,4,0.0368,0.9,-0.2039,0.2776,FALSE,Very Small (0.05),0.2955,0.7902,0.0842
1,c_Image_Picked,-,-,-,-,-,-,-,-,-,-
1,0,2,0.0603,0.7828,-0.1648,0.2855,FALSE,Very Small (0.1),0.2069,0.6144,0.0807
1,0,4,0.1113,0.5104,-0.1255,0.348,FALSE,Very Small (0.18),0.2672,0.565,0.0525
1,2,4,0.0509,0.7971,-0.1469,0.2488,FALSE,Very Small (0.09),0.3182,0.6167,0.0657
1,c_Plot_Picked,-,-,-,-,-,-,-,-,-,-
1,0,2,0.0086,0.9,-0.2632,0.2805,FALSE,Very Small (0.01),0.3793,0.6965,0.0915
1,0,4,0.1093,0.6286,-0.1766,0.3952,FALSE,Very Small (0.15),0.3879,0.6823,0.0634
1,2,4,0.1007,0.576,-0.1383,0.3397,FALSE,Very Small (0.14),0.4886,0.773,0.0824
1,c_Genre_Picked,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.1293,0.5581,-0.4268,0.1682,FALSE,Very Small (-0.16),0.5172,0.8427,0.1107
1,0,4,-0.1877,0.3356,-0.5006,0.1252,FALSE,Small (-0.24),0.3879,0.8212,0.0762
1,2,4,-0.0584,0.8432,-0.3199,0.2031,FALSE,Very Small (-0.08),0.3295,0.6902,0.0736
1,c_Stars_Picked,-,-,-,-,-,-,-,-,-,-
1,0,2,0.0862,0.7296,-0.1942,0.3666,FALSE,Very Small (0.11),0.2931,0.7495,0.0984
1,0,4,0.0024,0.9,-0.2925,0.2972,FALSE,None (0.0),0.3793,0.8199,0.0761
1,2,4,-0.0839,0.6854,-0.3303,0.1626,FALSE,Very Small (-0.12),0.2955,0.6095,0.065
1,c_Director_Picked,-,-,-,-,-,-,-,-,-,-
1,0,2,0.1466,0.5909,-0.2106,0.5037,FALSE,Very Small (0.16),0.5,0.8002,0.1051
1,0,4,0.1136,0.7363,-0.262,0.4893,FALSE,Very Small (0.13),0.6466,0.9714,0.0902
1,2,4,-0.0329,0.9,-0.3469,0.281,FALSE,Very Small (-0.03),0.6136,0.9876,0.1053
1,c_Date_Picked,-,-,-,-,-,-,-,-,-,-
1,0,2,0.069,0.7589,-0.1724,0.3103,FALSE,Very Small (0.15),0.1724,0.4246,0.0558
1,0,4,0.1571,0.3128,-0.0967,0.4109,FALSE,Small (0.23),0.2414,0.4867,0.0452
1,2,4,0.0882,0.5838,-0.124,0.3003,FALSE,Very Small (0.12),0.3295,0.8805,0.0939
1,c_Tag_Picked,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.0948,0.8784,-0.5758,0.3861,FALSE,Very Small (-0.07),1.1207,1.3518,0.1775
1,0,4,-0.3139,0.3111,-0.8197,0.1919,FALSE,Small (-0.25),1.0259,1.3019,0.1209
1,2,4,-0.219,0.4434,-0.6418,0.2037,FALSE,Very Small (-0.18),0.8068,1.1632,0.124
1,c_SVD_Picked,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.0948,0.8511,-0.531,0.3414,FALSE,Very Small (-0.08),0.8103,1.3696,0.1798
1,0,4,-0.1058,0.8333,-0.5645,0.3529,FALSE,Very Small (-0.08),0.7155,1.0368,0.0963
1,2,4,-0.011,0.9,-0.3944,0.3725,FALSE,Very Small (-0.01),0.7045,1.1362,0.1211
1,c_Baseline_Picked,-,-,-,-,-,-,-,-,-,-
1,0,2,0,0.9,-0.2167,0.2167,FALSE,None (0.0),0.1897,0.476,0.0625
1,0,4,0.0944,0.5855,-0.1335,0.3224,FALSE,Very Small (0.17),0.1897,0.5582,0.0518
1,2,4,0.0944,0.4747,-0.0961,0.2849,FALSE,Very Small (0.16),0.2841,0.6424,0.0685
