1,group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,c_Director_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,1.6378,0.6847,-3.1652,6.4408,FALSE,Very Small (0.13),21.4237,12.3863,1.6126
1,0,4,3.8916,0.1525,-1.038,8.8212,FALSE,Small (0.3),23.0615,12.9727,1.1378
1,2,4,2.2538,0.3739,-1.7004,6.2079,FALSE,Very Small (0.17),25.3153,13.3137,1.2637
1,c_Date_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,0.8488,0.9,-3.8709,5.5684,FALSE,Very Small (0.07),27.3051,12.2605,1.5962
1,0,4,-0.233,0.9,-5.0771,4.6111,FALSE,Very Small (-0.02),28.1538,12.7635,1.1194
1,2,4,-1.0818,0.769,-4.9673,2.8038,FALSE,Very Small (-0.08),27.0721,13.0208,1.2359
1,c_Tag_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,1.7083,0.7046,-3.5285,6.9452,FALSE,Very Small (0.12),21.5763,14.5451,1.8936
1,0,4,-0.2339,0.9,-5.6089,5.141,FALSE,Very Small (-0.02),23.2846,14.2215,1.2473
1,2,4,-1.9423,0.5371,-6.2536,2.3691,FALSE,Very Small (-0.14),21.3423,13.8849,1.3179
1,c_SVD_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.597,0.9,-5.6355,4.4415,FALSE,Very Small (-0.04),24.0508,14.9013,1.94
1,0,4,0.4627,0.9,-4.7087,5.634,FALSE,Very Small (0.03),23.4538,13.7227,1.2036
1,2,4,1.0597,0.7999,-3.0884,5.2077,FALSE,Very Small (0.08),24.5135,12.7813,1.2131
1,c_Baseline_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.9353,0.8841,-5.7813,3.9106,FALSE,Very Small (-0.07),27.9661,13.1804,1.7159
1,0,4,-1.7769,0.6628,-6.7507,3.1968,FALSE,Very Small (-0.13),27.0308,12.6742,1.1116
1,2,4,-0.8416,0.8599,-4.8311,3.148,FALSE,Very Small (-0.06),26.1892,13.5543,1.2865
1,c_All_Picked,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.107,0.716,-0.4439,0.2298,FALSE,Very Small (-0.11),0.5763,1.0035,0.1306
1,0,4,-0.0898,0.7943,-0.4356,0.256,FALSE,Very Small (-0.09),0.4692,0.8644,0.0758
1,2,4,0.0173,0.9,-0.2601,0.2946,FALSE,Very Small (0.02),0.4865,0.9132,0.0867
1,c_Title_Picked,-,-,-,-,-,-,-,-,-,-
1,0,2,0.0627,0.8685,-0.2438,0.3692,FALSE,Very Small (0.09),0.2373,0.7273,0.0947
