group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,2,0.03,0.9,-4.3224,4.3824,False,None (0.0),26.83,8.2805,0.8281
1,3,1.02,0.8284,-3.3324,5.3724,False,Very Small (0.08),26.86,14.4159,1.4416
2,3,0.99,0.8377,-3.3624,5.3424,False,Very Small (0.07),27.85,15.352,1.5352
c_Plot_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,1.32,0.7113,-2.789,5.429,False,Very Small (0.12),23.8,7.5679,0.7568
1,3,0.97,0.8261,-3.139,5.079,False,Very Small (0.08),25.12,13.7365,1.3737
2,3,-0.35,0.9,-4.459,3.759,False,Very Small (-0.02),24.77,14.5059,1.4506
c_Genre_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,0.66,0.9,-3.6578,4.9778,False,Very Small (0.06),23.57,7.2506,0.7251
1,3,1.12,0.7946,-3.1978,5.4378,False,Very Small (0.09),24.23,14.3145,1.4315
2,3,0.46,0.9,-3.8578,4.7778,False,Very Small (0.03),24.69,15.6996,1.57
c_Stars_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,-0.9,0.8556,-5.1024,3.3024,False,Very Small (-0.08),25.37,7.4477,0.7448
1,3,0.56,0.9,-3.6424,4.7624,False,Very Small (0.05),24.47,15.2385,1.5238
2,3,1.46,0.676,-2.7424,5.6624,False,Very Small (0.1),25.93,13.7732,1.3773
c_Director_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,0.19,0.9,-4.1544,4.5344,False,Very Small (0.02),24.11,8.3653,0.8365
1,3,-1.8,0.5859,-6.1444,2.5444,False,Very Small (-0.15),24.3,14.365,1.4365
2,3,-1.99,0.5269,-6.3344,2.3544,False,Very Small (-0.13),22.31,15.2922,1.5292
c_Date_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,3.41,0.1396,-0.8112,7.6312,False,Small (0.29),26.45,7.093,0.7093
1,3,0.0,0.9,-4.2212,4.2212,False,None (0.0),29.86,14.8915,1.4892
2,3,-3.41,0.1396,-7.6312,0.8112,False,Small (-0.23),26.45,14.477,1.4477
c_Tag_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,2.69,0.369,-1.9983,7.3783,False,Small (0.21),21.92,8.2837,0.8284
1,3,-1.76,0.6383,-6.4483,2.9283,False,Very Small (-0.14),24.61,16.5064,1.6506
2,3,-4.45,0.067,-9.1383,0.2383,False,Small (-0.27),20.16,15.908,1.5908
c_SVD_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,-0.62,0.9,-5.1578,3.9178,False,Very Small (-0.05),23.9,7.8348,0.7835
1,3,0.81,0.9,-3.7278,5.3478,False,Very Small (0.07),23.28,16.0775,1.6078
2,3,1.43,0.7195,-3.1078,5.9678,False,Very Small (0.09),24.71,15.3868,1.5387
c_Baseline_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,0.31,0.9,-4.0597,4.6797,False,Very Small (0.03),26.97,7.8218,0.7822
1,3,-0.51,0.9,-4.8797,3.8597,False,Very Small (-0.04),27.28,15.1144,1.5114
2,3,-0.82,0.8913,-5.1897,3.5497,False,Very Small (-0.05),26.46,15.0504,1.505
c_All_Picked,-,-,-,-,-,-,-,-,-,-
1,2,0.02,0.9,-0.2823,0.3223,False,Very Small (0.02),0.55,0.7571,0.0757
1,3,-0.18,0.3416,-0.4823,0.1223,False,Small (-0.22),0.57,1.0755,0.1075
2,3,-0.2,0.2658,-0.5023,0.1023,False,Small (-0.21),0.37,0.8605,0.0861
c_Title_Picked,-,-,-,-,-,-,-,-,-,-
1,2,0.11,0.6063,-0.1656,0.3856,False,Very Small (0.15),0.22,0.5041,0.0504
1,3,0.18,0.2749,-0.0956,0.4556,False,Small (0.23),0.33,0.8883,0.0888
2,3,0.07,0.8019,-0.2056,0.3456,False,Very Small (0.07),0.4,1.005,0.1005
c_Image_Picked,-,-,-,-,-,-,-,-,-,-
1,2,-0.15,0.2546,-0.3731,0.0731,False,Small (-0.26),0.34,0.5898,0.059
1,3,-0.03,0.9,-0.2531,0.1931,False,Very Small (-0.04),0.19,0.5449,0.0545
2,3,0.12,0.4168,-0.1031,0.3431,False,Very Small (0.17),0.31,0.8372,0.0837
c_Plot_Picked,-,-,-,-,-,-,-,-,-,-
1,2,-0.14,0.3931,-0.3921,0.1121,False,Small (-0.21),0.48,0.6887,0.0689
1,3,-0.04,0.9,-0.2921,0.2121,False,Very Small (-0.05),0.34,0.6547,0.0655
2,3,0.1,0.6096,-0.1521,0.3521,False,Very Small (0.13),0.44,0.9025,0.0903
c_Genre_Picked,-,-,-,-,-,-,-,-,-,-
