group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,3,-0.1287,0.7318,-0.5496,0.2921,False,Very Small (-0.11),3.1477,1.199,0.1278
2,3,0.2023,0.506,-0.2251,0.6297,False,Very Small (0.17),3.35,1.2023,0.1344
q_proc_sorting,-,-,-,-,-,-,-,-,-,-
1,2,-0.2384,0.332,-0.6338,0.157,False,Small (-0.22),3.6702,0.988,0.1019
1,3,-0.2952,0.2012,-0.7007,0.1102,False,Small (-0.26),3.4318,1.1325,0.1207
2,3,-0.0568,0.9,-0.4686,0.3549,False,Very Small (-0.05),3.375,1.2766,0.1427
q_dem_movieUsage,-,-,-,-,-,-,-,-,-,-
1,2,0.0077,0.9,-0.6473,0.6628,False,None (0.0),2.4468,1.8352,0.1893
1,3,0.0782,0.9,-0.5936,0.75,False,Very Small (0.04),2.4545,1.7611,0.1877
2,3,0.0705,0.9,-0.6118,0.7527,False,Very Small (0.04),2.525,2.0312,0.2271
q_dem_onlineUsage,-,-,-,-,-,-,-,-,-,-
1,2,-0.0097,0.9,-0.2529,0.2336,False,Very Small (-0.01),1.6915,0.6724,0.0694
1,3,-0.0415,0.9,-0.2909,0.208,False,Very Small (-0.06),1.6818,0.6872,0.0733
2,3,-0.0318,0.9,-0.2852,0.2215,False,Very Small (-0.04),1.65,0.7309,0.0817
c_ageGroup,-,-,-,-,-,-,-,-,-,-
1,2,0.1772,0.4763,-0.1811,0.5355,False,Very Small (0.17),2.766,1.0205,0.1053
1,3,-0.0535,0.9,-0.4209,0.314,False,Very Small (-0.05),2.9432,1.0544,0.1124
2,3,-0.2307,0.3139,-0.6038,0.1425,False,Small (-0.22),2.7125,0.9961,0.1114
c_dem_genderCat,-,-,-,-,-,-,-,-,-,-
1,2,-0.1277,0.2246,-0.3094,0.0541,False,Small (-0.25),1.6277,0.5284,0.0545
1,3,-0.1152,0.3141,-0.3015,0.0712,False,Small (-0.22),1.5,0.5029,0.0536
2,3,0.0125,0.9,-0.1768,0.2018,False,Very Small (0.02),1.5125,0.5276,0.059
c_All_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,-4.2379,0.0627,-8.6482,0.1723,False,Small (-0.38),24.5106,7.2627,0.7491
1,3,0.7394,0.9,-3.7833,5.2621,False,Very Small (0.06),20.2727,13.9554,1.4876
2,3,4.9773,0.03,0.3842,9.5703,True,Small (0.34),25.25,15.6509,1.7498
c_Title_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,-1.9891,0.5049,-6.1842,2.206,False,Very Small (-0.19),27.6596,6.7689,0.6982
1,3,-3.1846,0.1907,-7.4867,1.1175,False,Small (-0.27),25.6705,12.9958,1.3854
2,3,-1.1955,0.7753,-5.5645,3.1735,False,Very Small (-0.08),24.475,15.2299,1.7028
c_Image_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,0.5919,0.9,-3.8999,5.0837,False,Very Small (0.05),26.6809,8.3527,0.8615
1,3,0.2441,0.9,-4.3622,4.8505,False,Very Small (0.02),27.2727,14.4713,1.5426
2,3,-0.3477,0.9,-5.0257,4.3302,False,Very Small (-0.02),26.925,15.107,1.689
c_Plot_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,0.8199,0.8845,-3.4358,5.0756,False,Very Small (0.07),23.6915,7.5833,0.7822
1,3,1.6835,0.6241,-2.6807,6.0477,False,Very Small (0.15),24.5114,13.6887,1.4592
2,3,0.8636,0.8815,-3.5684,5.2957,False,Very Small (0.06),25.375,14.5449,1.6262
c_Genre_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,2.0099,0.5414,-2.4861,6.506,False,Very Small (0.18),23.4787,7.1583,0.7383
1,3,1.3088,0.7615,-3.3019,5.9195,False,Very Small (0.11),25.4886,14.3607,1.5309
2,3,-0.7011,0.9,-5.3836,3.9813,False,Very Small (-0.05),24.7875,15.9554,1.7839
c_Stars_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,-0.6741,0.9,-5.0108,3.6627,False,Very Small (-0.06),25.4468,7.3684,0.76
1,3,1.1282,0.8022,-3.3191,5.5755,False,Very Small (0.1),24.7727,15.3681,1.6382
2,3,1.8023,0.6062,-2.7142,6.3188,False,Very Small (0.12),26.575,13.4266,1.5011
c_Director_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,0.7693,0.9,-3.7792,5.3179,False,Very Small (0.07),24.117,8.5281,0.8796
1,3,-1.6545,0.6659,-6.3191,3.01,False,Very Small (-0.13),24.8864,14.401,1.5352
2,3,-2.4239,0.4524,-7.1609,2.3132,False,Very Small (-0.16),22.4625,15.5156,1.7347
c_Date_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,3.3902,0.1698,-1.035,7.8155,False,Small (0.29),26.7234,7.1638,0.7389
1,3,0.3141,0.9,-4.224,4.8522,False,Very Small (0.03),30.1136,14.856,1.5837
2,3,-3.0761,0.2593,-7.6848,1.5325,False,Small (-0.21),27.0375,14.8864,1.6644
c_Tag_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,1.4093,0.7591,-3.5245,6.3432,False,Very Small (0.11),21.6702,8.2961,0.8557
1,3,-0.8702,0.9,-5.9299,4.1895,False,Very Small (-0.07),23.0795,16.5455,1.7638
2,3,-2.2795,0.546,-7.4179,2.8588,False,Very Small (-0.14),20.8,16.4381,1.8378
