group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
q_proc_recImprove,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.0547,0.9,-0.6024,0.493,FALSE,Very Small (-0.05),3.3404,0.9841,0.1436
,,,,,,,,,,
4,6,0.1859,0.6966,-0.3768,0.7486,FALSE,Very Small (0.18),3.2857,1.1952,0.1844
,,,,,,,,,,
5,6,0.2406,0.5797,-0.3369,0.8181,FALSE,Small (0.21),3.5263,1.084,0.1758
,,,,,,,,,,
q_proc_control,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.0912,0.9,-0.646,0.4636,FALSE,Very Small (-0.09),3.234,1.1461,0.1672
,,,,,,,,,,
4,6,0.1344,0.8248,-0.4356,0.7044,FALSE,Very Small (0.11),3.1429,0.9518,0.1469
,,,,,,,,,,
5,6,0.2256,0.6217,-0.3594,0.8105,FALSE,Small (0.21),3.3684,1.1951,0.1939
,,,,,,,,,,
q_proc_sorting,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.0897,0.9,-0.4831,0.6625,FALSE,Very Small (0.08),3.5532,1.0174,0.1484
,,,,,,,,,,
4,6,-0.1585,0.7794,-0.747,0.4301,FALSE,Very Small (-0.14),3.6429,1.1223,0.1732
,,,,,,,,,,
5,6,-0.2481,0.5875,-0.8521,0.3559,FALSE,Small (-0.21),3.3947,1.2848,0.2084
,,,,,,,,,,
q_dem_movieUsage,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.3728,0.5862,-1.2782,0.5326,FALSE,Small (-0.21),2.4681,1.8279,0.2666
,,,,,,,,,,
4,6,0.1109,0.9,-0.8194,1.0411,FALSE,Very Small (0.06),2.0952,1.65,0.2546
,,,,,,,,,,
5,6,0.4837,0.456,-0.4709,1.4384,FALSE,Small (0.27),2.5789,1.912,0.3102
,,,,,,,,,,
q_dem_onlineUsage,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.1074,0.7414,-0.2539,0.4687,FALSE,Very Small (0.14),1.7021,0.8053,0.1175
,,,,,,,,,,
4,6,-0.1758,0.5024,-0.547,0.1954,FALSE,Small (-0.26),1.8095,0.7726,0.1192
,,,,,,,,,,
5,6,-0.2832,0.1862,-0.6641,0.0977,FALSE,Small (-0.43),1.5263,0.506,0.0821
,,,,,,,,,,
c_ageGroup,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.1175,0.837,-0.4008,0.6359,FALSE,Very Small (0.11),2.7872,0.9766,0.1425
,,,,,,,,,,
4,6,-0.0767,0.9,-0.6093,0.4559,FALSE,Very Small (-0.08),2.9048,1.0777,0.1663
,,,,,,,,,,
5,6,-0.1942,0.6627,-0.7408,0.3523,FALSE,Very Small (-0.18),2.7105,1.0374,0.1683
,,,,,,,,,,
c_dem_genderCat,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.0208,0.9,-0.2472,0.2887,FALSE,Very Small (0.04),1.5745,0.5803,0.0846
,,,,,,,,,,
4,6,-0.0482,0.9,-0.3234,0.2271,FALSE,Very Small (-0.09),1.5952,0.4968,0.0767
,,,,,,,,,,
5,6,-0.0689,0.8137,-0.3514,0.2136,FALSE,Very Small (-0.14),1.5263,0.506,0.0821
,,,,,,,,,,
c_All_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-3.3561,0.4562,-9.9818,3.2695,FALSE,Small (-0.29),24.8085,8.4613,1.2342
,,,,,,,,,,
4,6,-1.4664,0.8524,-8.2737,5.3409,FALSE,Very Small (-0.11),21.4524,14.1252,2.1796
,,,,,,,,,,
