group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
4,6,0.78,0.9,-4.6609,6.2209,False,Very Small (0.07),33.84,11.8569,1.6768
5,6,-3.36,0.3126,-8.8009,2.0809,False,Small (-0.26),30.48,13.6071,1.9243
c_All_Picked,-,-,-,-,-,-,-,-,-,-
4,5,-0.16,0.6176,-0.5711,0.2511,False,Very Small (-0.2),0.58,0.7848,0.111
4,6,-0.12,0.7493,-0.5311,0.2911,False,Very Small (-0.14),0.42,0.8352,0.1181
5,6,0.04,0.9,-0.3711,0.4511,False,Very Small (0.04),0.46,0.9733,0.1376
c_Title_Picked,-,-,-,-,-,-,-,-,-,-
4,5,0.32,0.098,-0.0447,0.6847,False,Small (0.42),0.1,0.303,0.0429
4,6,0.2,0.3998,-0.1647,0.5647,False,Small (0.33),0.42,1.0319,0.1459
5,6,-0.12,0.6991,-0.4847,0.2447,False,Very Small (-0.13),0.3,0.789,0.1116
c_Image_Picked,-,-,-,-,-,-,-,-,-,-
4,5,-0.14,0.5041,-0.4359,0.1559,False,Small (-0.3),0.26,0.5272,0.0746
4,6,0.04,0.9,-0.2559,0.3359,False,Very Small (0.06),0.12,0.3854,0.0545
5,6,0.18,0.3235,-0.1159,0.4759,False,Small (0.27),0.3,0.8631,0.1221
c_Plot_Picked,-,-,-,-,-,-,-,-,-,-
4,5,-0.18,0.4355,-0.5247,0.1647,False,Small (-0.26),0.56,0.7329,0.1036
4,6,-0.18,0.4355,-0.5247,0.1647,False,Small (-0.24),0.38,0.6667,0.0943
5,6,0.0,0.9,-0.3447,0.3447,False,None (0.0),0.38,0.7796,0.1103
c_Genre_Picked,-,-,-,-,-,-,-,-,-,-
4,5,-0.12,0.7414,-0.5231,0.2831,False,Very Small (-0.15),0.52,0.6465,0.0914
4,6,-0.12,0.7414,-0.5231,0.2831,False,Very Small (-0.15),0.4,0.9476,0.134
5,6,0.0,0.9,-0.4031,0.4031,False,None (0.0),0.4,0.9258,0.1309
c_Stars_Picked,-,-,-,-,-,-,-,-,-,-
4,5,0.34,0.1357,-0.0786,0.7586,False,Small (0.37),0.26,0.487,0.0689
4,6,0.08,0.8857,-0.3386,0.4986,False,Very Small (0.12),0.6,1.1952,0.169
5,6,-0.26,0.3085,-0.6786,0.1586,False,Small (-0.25),0.34,0.8234,0.1164
c_Director_Picked,-,-,-,-,-,-,-,-,-,-
4,5,0.12,0.8202,-0.381,0.621,False,Very Small (0.13),0.54,0.7343,0.1038
4,6,0.14,0.7662,-0.361,0.641,False,Very Small (0.14),0.66,1.1178,0.1581
5,6,0.02,0.9,-0.481,0.521,False,Very Small (0.02),0.68,1.2526,0.1771
c_Date_Picked,-,-,-,-,-,-,-,-,-,-
4,5,0.12,0.6515,-0.2095,0.4495,False,Very Small (0.16),0.22,0.4647,0.0657
4,6,-0.04,0.9,-0.3695,0.2895,False,Very Small (-0.08),0.34,0.9607,0.1359
5,6,-0.16,0.4867,-0.4895,0.1695,False,Small (-0.2),0.18,0.5602,0.0792
c_Tag_Picked,-,-,-,-,-,-,-,-,-,-
4,5,-0.46,0.1765,-1.0684,0.1484,False,Small (-0.35),1.2,1.2778,0.1807
4,6,-0.18,0.7439,-0.7884,0.4284,False,Very Small (-0.14),0.74,1.3372,0.1891
5,6,0.28,0.5215,-0.3284,0.8884,False,Small (0.22),1.02,1.237,0.1749
c_SVD_Picked,-,-,-,-,-,-,-,-,-,-
4,5,0.16,0.7395,-0.3749,0.6949,False,Very Small (0.15),0.64,0.7494,0.106
4,6,0.16,0.7395,-0.3749,0.6949,False,Very Small (0.16),0.8,1.3093,0.1852
5,6,0.0,0.9,-0.5349,0.5349,False,None (0.0),0.8,1.2454,0.1761
c_Baseline_Picked,-,-,-,-,-,-,-,-,-,-
4,5,0.0,0.9,-0.2014,0.2014,False,None (0.0),0.12,0.3854,0.0545
4,6,0.02,0.9,-0.1814,0.2214,False,Very Small (0.05),0.12,0.4352,0.0615
5,6,0.02,0.9,-0.1814,0.2214,False,Very Small (0.05),0.14,0.4522,0.064
