group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,3,-0.1216,0.8408,-0.6641,0.421,FALSE,Very Small (-0.12),3.8043,1.1474,0.1692
,,,,,,,,,,
2,3,0.0528,0.9,-0.4926,0.5981,FALSE,Very Small (0.05),3.8571,1.1385,0.1757
,,,,,,,,,,
q_outc_serendipity,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.2636,0.4357,-0.7691,0.2418,FALSE,Small (-0.26),3.8723,1.0554,0.1539
,,,,,,,,,,
1,3,-0.2057,0.606,-0.7232,0.3118,FALSE,Very Small (-0.2),3.6087,0.9995,0.1474
,,,,,,,,,,
2,3,0.058,0.9,-0.4622,0.5781,FALSE,Very Small (0.06),3.6667,1.0281,0.1586
,,,,,,,,,,
q_outc_relevance,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.229,0.6243,-0.8253,0.3674,FALSE,Very Small (-0.19),3.4681,1.2132,0.177
,,,,,,,,,,
1,3,-0.0633,0.9,-0.6739,0.5472,FALSE,Very Small (-0.05),3.2391,1.2326,0.1817
,,,,,,,,,,
2,3,0.1656,0.7787,-0.448,0.7793,FALSE,Very Small (0.14),3.4048,1.1906,0.1837
,,,,,,,,,,
q_proc_searchSim,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.3298,0.4226,-0.2912,0.9507,FALSE,Small (0.27),2.1702,1.2036,0.1756
,,,,,,,,,,
1,3,-0.0512,0.9,-0.6869,0.5846,FALSE,Very Small (-0.04),2.5,1.278,0.1884
,,,,,,,,,,
2,3,-0.381,0.3376,-1.0199,0.258,FALSE,Small (-0.29),2.119,1.3104,0.2022
,,,,,,,,,,
q_proc_decidDiff,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.2081,0.7094,-0.4401,0.8564,FALSE,Very Small (0.16),2.5745,1.331,0.1941
,,,,,,,,,,
1,3,0.0208,0.9,-0.6429,0.6844,FALSE,Very Small (0.02),2.7826,1.3319,0.1964
,,,,,,,,,,
2,3,-0.1874,0.7638,-0.8544,0.4797,FALSE,Very Small (-0.14),2.5952,1.289,0.1989
,,,,,,,,,,
q_proc_recImprove,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.2502,0.5492,-0.8197,0.3193,FALSE,Small (-0.21),3.4894,1.1204,0.1634
,,,,,,,,,,
1,3,-0.4656,0.1448,-1.0486,0.1175,FALSE,Small (-0.43),3.2391,1.2856,0.1895
,,,,,,,,,,
2,3,-0.2153,0.6466,-0.8013,0.3707,FALSE,Very Small (-0.18),3.0238,1.0474,0.1616
,,,,,,,,,,
q_proc_control,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.5712,0.0694,-1.1775,0.035,FALSE,Small (-0.46),3.7234,1.0571,0.1542
,,,,,,,,,,
1,3,-0.3901,0.2995,-1.0107,0.2306,FALSE,Small (-0.34),3.1522,1.3979,0.2061
,,,,,,,,,,
2,3,0.1812,0.751,-0.4427,0.805,FALSE,Very Small (0.14),3.3333,1.2231,0.1887
,,,,,,,,,,
q_proc_sorting,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.5481,0.0516,-1.0993,0.0031,FALSE,Medium (-0.53),3.7872,0.9541,0.1392
,,,,,,,,,,
1,3,-0.4301,0.1715,-0.9944,0.1342,FALSE,Small (-0.38),3.2391,1.1192,0.165
,,,,,,,,,,
2,3,0.118,0.8625,-0.4492,0.6852,FALSE,Very Small (0.1),3.3571,1.2845,0.1982
,,,,,,,,,,
q_dem_movieUsage,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.3571,0.6378,-0.5977,1.3119,FALSE,Very Small (0.19),2.4255,1.862,0.2716
,,,,,,,,,,
1,3,0.0507,0.9,-0.9269,1.0282,FALSE,Very Small (0.03),2.7826,1.8125,0.2672
,,,,,,,,,,
2,3,-0.3064,0.7219,-1.2889,0.6761,FALSE,Very Small (-0.15),2.4762,2.1554,0.3326
,,,,,,,,,,
q_dem_onlineUsage,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.1156,0.6684,-0.4447,0.2135,FALSE,Small (-0.21),1.6809,0.5153,0.0752
,,,,,,,,,,
1,3,0.0811,0.8185,-0.2559,0.418,FALSE,Very Small (0.11),1.5652,0.5832,0.086
,,,,,,,,,,
2,3,0.1967,0.3569,-0.142,0.5353,FALSE,Small (0.26),1.7619,0.8782,0.1355
,,,,,,,,,,
c_ageGroup,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.2336,0.5206,-0.2737,0.7408,FALSE,Small (0.22),2.7447,1.0727,0.1565
,,,,,,,,,,
1,3,-0.0304,0.9,-0.5497,0.4889,FALSE,Very Small (-0.03),2.9783,1.0433,0.1538
,,,,,,,,,,
2,3,-0.264,0.4577,-0.7859,0.258,FALSE,Small (-0.26),2.7143,0.9699,0.1497
,,,,,,,,,,
c_dem_genderCat,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.2678,0.0318,-0.5168,-0.0188,TRUE,Medium (-0.55),1.6809,0.4712,0.0687
,,,,,,,,,,
1,3,-0.1809,0.2163,-0.4358,0.0741,FALSE,Small (-0.35),1.413,0.4978,0.0734
,,,,,,,,,,
