group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
2,3,-0.32,0.2579,-0.7996,0.1596,FALSE,Small (-0.32),2.66,0.9172,0.1297
,,,,,,,,,,
c_dem_genderCat,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.24,0.0497,-0.4798,-0.0002,TRUE,Small (-0.49),1.68,0.4712,0.0666
,,,,,,,,,,
1,3,-0.16,0.2578,-0.3998,0.0798,FALSE,Small (-0.31),1.44,0.5014,0.0709
,,,,,,,,,,
2,3,0.08,0.6928,-0.1598,0.3198,FALSE,Very Small (0.15),1.52,0.5436,0.0769
,,,,,,,,,,
c_All_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-5.1,0.1135,-11.108,0.908,FALSE,Small (-0.46),24.12,6.193,0.8758
,,,,,,,,,,
1,3,3.82,0.2918,-2.188,9.828,FALSE,Small (0.33),19.02,14.3903,2.0351
,,,,,,,,,,
2,3,8.92,0.0017,2.912,14.928,TRUE,Medium (0.6),27.94,15.4079,2.179
,,,,,,,,,,
c_Title_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-1.02,0.9,-6.9302,4.8902,FALSE,Very Small (-0.09),26.12,6.1,0.8627
,,,,,,,,,,
1,3,-3.36,0.3732,-9.2702,2.5502,FALSE,Small (-0.29),25.1,14.0047,1.9806
,,,,,,,,,,
2,3,-2.34,0.6085,-8.2502,3.5702,FALSE,Very Small (-0.16),22.76,15.2938,2.1629
,,,,,,,,,,
c_Image_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,2.26,0.6509,-3.9379,8.4579,FALSE,Very Small (0.19),25.92,7.7508,1.0961
,,,,,,,,,,
1,3,-2.04,0.6989,-8.2379,4.1579,FALSE,Very Small (-0.17),28.18,14.8044,2.0937
,,,,,,,,,,
2,3,-4.3,0.2314,-10.4979,1.8979,FALSE,Small (-0.29),23.88,15.3166,2.1661
,,,,,,,,,,
c_Plot_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,1.56,0.7886,-4.374,7.494,FALSE,Very Small (0.14),23.34,7.2128,1.02
,,,,,,,,,,
1,3,2.2,0.6426,-3.734,8.134,FALSE,Very Small (0.18),24.9,13.6041,1.9239
,,,,,,,,,,
2,3,0.64,0.9,-5.294,6.574,FALSE,Very Small (0.04),25.54,15.2947,2.163
,,,,,,,,,,
c_Genre_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,1.18,0.8929,-5.1705,7.5305,FALSE,Very Small (0.1),25.06,8.1376,1.1508
,,,,,,,,,,
1,3,1.54,0.8162,-4.8105,7.8905,FALSE,Very Small (0.12),26.24,14.7268,2.0827
,,,,,,,,,,
2,3,0.36,0.9,-5.9905,6.7105,FALSE,Very Small (0.02),26.6,16.0115,2.2644
,,,,,,,,,,
c_Stars_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.58,0.9,-6.7903,5.6303,FALSE,Very Small (-0.05),26.02,7.8597,1.1115
,,,,,,,,,,
1,3,0.9,0.9,-5.3103,7.1103,FALSE,Very Small (0.08),25.44,15.8142,2.2365
,,,,,,,,,,
2,3,1.48,0.8218,-4.7303,7.6903,FALSE,Very Small (0.1),26.92,14.2841,2.0201
,,,,,,,,,,
c_Director_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,2.22,0.6552,-3.9222,8.3622,FALSE,Small (0.2),24.54,7.5814,1.0722
,,,,,,,,,,
1,3,-1.68,0.7742,-7.8222,4.4622,FALSE,Very Small (-0.13),26.76,13.4431,1.9011
,,,,,,,,,,
2,3,-3.9,0.2927,-10.0422,2.2422,FALSE,Small (-0.26),22.86,16.3233,2.3085
,,,,,,,,,,
c_Date_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,3.06,0.488,-3.2546,9.3746,FALSE,Small (0.25),25.52,7.7913,1.1019
