1,group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
0,,,,,,,,,,,
1,q_outc_novelty,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0362,0.9,-0.4096,0.3372,FALSE,Very Small (-0.03),3.874,1.0157,0.0901
0,,,,,,,,,,,
1,2,4,-0.2183,0.4015,-0.616,0.1795,FALSE,Small (-0.21),3.8378,1.1824,0.1374
0,,,,,,,,,,,
1,3,4,-0.1821,0.5881,-0.6236,0.2594,FALSE,Very Small (-0.16),3.6557,1.0937,0.14
0,,,,,,,,,,,
1,q_outc_serendipity,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.033,0.9,-0.3919,0.326,FALSE,Very Small (-0.03),3.7087,1.0166,0.0902
0,,,,,,,,,,,
1,2,4,-0.3316,0.1038,-0.714,0.0507,FALSE,Small (-0.32),3.6757,1.0868,0.1263
0,,,,,,,,,,,
1,3,4,-0.2986,0.2236,-0.7231,0.1258,FALSE,Small (-0.28),3.377,1.0354,0.1326
0,,,,,,,,,,,
1,q_outc_relevance,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.174,0.5591,-0.5749,0.2269,FALSE,Very Small (-0.15),3.5118,1.1538,0.1024
0,,,,,,,,,,,
1,2,4,-0.5446,0.0081,-0.9716,-0.1176,TRUE,Small (-0.48),3.3378,1.2194,0.1418
0,,,,,,,,,,,
1,3,4,-0.3706,0.1579,-0.8447,0.1034,FALSE,Small (-0.32),2.9672,1.1101,0.1421
0,,,,,,,,,,,
1,q_proc_searchSim,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.4914,0.0273,-0.9387,-0.0441,TRUE,Small (-0.37),2.6535,1.3415,0.119
0,,,,,,,,,,,
1,2,4,-0.1945,0.5937,-0.671,0.2819,FALSE,Very Small (-0.15),2.1622,1.2824,0.1491
0,,,,,,,,,,,
1,3,4,0.2969,0.385,-0.2321,0.8258,FALSE,Small (0.24),2.459,1.2189,0.1561
0,,,,,,,,,,,
1,q_proc_decidDiff,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.3492,0.1572,-0.7954,0.0969,FALSE,Small (-0.26),2.8898,1.3107,0.1163
0,,,,,,,,,,,
1,2,4,-0.316,0.262,-0.7912,0.1593,FALSE,Small (-0.26),2.5405,1.3768,0.1601
0,,,,,,,,,,,
1,3,4,0.0332,0.9,-0.4944,0.5608,FALSE,Very Small (0.03),2.5738,1.1469,0.1468
0,,,,,,,,,,,
1,q_proc_recImprove,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0131,0.9,-0.401,0.3749,FALSE,Very Small (-0.01),3.378,1.1679,0.1036
0,,,,,,,,,,,
1,2,4,-0.2468,0.339,-0.66,0.1664,FALSE,Small (-0.23),3.3649,1.2002,0.1395
0,,,,,,,,,,,
1,3,4,-0.2337,0.4555,-0.6925,0.225,FALSE,Small (-0.22),3.1311,0.9215,0.118
0,,,,,,,,,,,
1,q_proc_control,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.3462,0.1061,-0.7474,0.0549,FALSE,Small (-0.29),3.5354,1.1325,0.1005
0,,,,,,,,,,,
1,2,4,-0.4699,0.0271,-0.8972,-0.0425,TRUE,Small (-0.43),3.1892,1.2893,0.1499
0,,,,,,,,,,,
1,3,4,-0.1236,0.7929,-0.598,0.3508,FALSE,Very Small (-0.1),3.0656,1.0625,0.136
0,,,,,,,,,,,
1,q_proc_sorting,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.1817,0.5164,-0.5721,0.2086,FALSE,Very Small (-0.16),3.6142,1.1481,0.1019
0,,,,,,,,,,,
1,2,4,-0.2699,0.2789,-0.6857,0.1459,FALSE,Small (-0.25),3.4324,1.183,0.1375
0,,,,,,,,,,,
1,3,4,-0.0882,0.8867,-0.5498,0.3734,FALSE,Very Small (-0.08),3.3443,1.0309,0.132
0,,,,,,,,,,,
1,q_dem_movieUsage,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.2464,0.6326,-0.8959,0.4031,FALSE,Very Small (-0.13),3.1654,2.007,0.1781
0,,,,,,,,,,,
1,2,4,-0.3785,0.4039,-1.0703,0.3134,FALSE,Small (-0.21),2.9189,1.8488,0.2149
0,,,,,,,,,,,
1,3,4,-0.132,0.9,-0.9001,0.636,FALSE,Very Small (-0.08),2.7869,1.6443,0.2105
0,,,,,,,,,,,
1,q_dem_onlineUsage,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0488,0.8657,-0.2853,0.1876,FALSE,Very Small (-0.07),1.6299,0.6992,0.062
0,,,,,,,,,,,
1,2,4,0.2553,0.0461,0.0035,0.5072,TRUE,Small (0.37),1.5811,0.6622,0.077
0,,,,,,,,,,,
1,3,4,0.3042,0.0292,0.0246,0.5838,TRUE,Small (0.45),1.8852,0.6855,0.0878
0,,,,,,,,,,,
1,c_dem_genderCat,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.005,0.9,-0.1853,0.1753,FALSE,None (-0.01),1.5591,0.5441,0.0483
0,,,,,,,,,,,
1,2,4,-0.0345,0.9,-0.2265,0.1575,FALSE,Very Small (-0.07),1.5541,0.5005,0.0582
0,,,,,,,,,,,
1,3,4,-0.0295,0.9,-0.2426,0.1837,FALSE,Very Small (-0.06),1.5246,0.5035,0.0645
0,,,,,,,,,,,
1,c_All_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.5362,0.9,-3.8767,4.9491,FALSE,Very Small (0.04),23.126,13.1094,1.1633
0,,,,,,,,,,,
1,2,4,0.1527,0.9,-4.5479,4.8533,FALSE,Very Small (0.01),23.6622,11.5501,1.3427
0,,,,,,,,,,,
1,3,4,-0.3835,0.9,-5.6018,4.8349,FALSE,Very Small (-0.03),23.2787,13.566,1.737
0,,,,,,,,,,,
1,c_Title_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-1.4547,0.6717,-5.6061,2.6968,FALSE,Very Small (-0.12),26.252,12.5059,1.1097
0,,,,,,,,,,,
1,2,4,0.7644,0.9,-3.6577,5.1865,FALSE,Very Small (0.06),24.7973,11.9668,1.3911
0,,,,,,,,,,,
1,3,4,2.2191,0.5347,-2.69,7.1282,FALSE,Very Small (0.19),27.0164,11.1018,1.4214
0,,,,,,,,,,,
1,c_Image_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.3787,0.9,-4.8014,4.044,FALSE,Very Small (-0.03),26.7165,12.3185,1.0931
0,,,,,,,,,,,
1,2,4,1.4802,0.7206,-3.2309,6.1913,FALSE,Very Small (0.12),26.3378,13.3563,1.5526
0,,,,,,,,,,,
1,3,4,1.8589,0.665,-3.3711,7.0888,FALSE,Very Small (0.14),28.1967,13.2172,1.6923
0,,,,,,,,,,,
1,c_Plot_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-1.7095,0.5946,-5.9034,2.4844,FALSE,Very Small (-0.14),24.9528,12.6019,1.1182
0,,,,,,,,,,,
1,2,4,0.0472,0.9,-4.4201,4.5146,FALSE,None (0.0),23.2432,12.3264,1.4329
0,,,,,,,,,,,
1,3,4,1.7568,0.6666,-3.2026,6.7161,FALSE,Very Small (0.15),25,10.9742,1.4051
0,,,,,,,,,,,
1,c_Genre_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.1536,0.9,-4.5961,4.2888,FALSE,Very Small (-0.01),24.5591,12.2783,1.0895
0,,,,,,,,,,,
1,2,4,0.1623,0.9,-4.5699,4.8944,FALSE,Very Small (0.01),24.4054,12.7997,1.4879
0,,,,,,,,,,,
1,3,4,0.3159,0.9,-4.9374,5.5692,FALSE,Very Small (0.02),24.7213,14.1717,1.8145
0,,,,,,,,,,,
1,c_Stars_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.4447,0.9,-4.711,3.8216,FALSE,Very Small (-0.04),25.1339,12.3078,1.0921
0,,,,,,,,,,,
1,2,4,2.3907,0.4325,-2.1537,6.9352,FALSE,Very Small (0.19),24.6892,12.1902,1.4171
0,,,,,,,,,,,
1,3,4,2.8354,0.384,-2.2095,7.8803,FALSE,Small (0.23),27.5246,12.7326,1.6302
0,,,,,,,,,,,
1,c_Director_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.1289,0.9,-4.3527,4.6104,FALSE,None (0.01),24.4252,12.9636,1.1503
0,,,,,,,,,,,
1,2,4,-2.54,0.4242,-7.3137,2.2338,FALSE,Small (-0.2),24.5541,13.5608,1.5764
0,,,,,,,,,,,
1,3,4,-2.6688,0.4637,-7.9683,2.6307,FALSE,Small (-0.21),21.8852,12.36,1.5825
0,,,,,,,,,,,
1,c_Date_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.1286,0.9,-4.262,4.5193,FALSE,Very Small (0.01),28.2362,12.342,1.0952
0,,,,,,,,,,,
1,2,4,-1.351,0.7547,-6.0279,3.326,FALSE,Very Small (-0.11),28.3649,13.0998,1.5228
0,,,,,,,,,,,
1,3,4,-1.4796,0.76,-6.6717,3.7124,FALSE,Very Small (-0.11),26.8852,13.0947,1.6766
0,,,,,,,,,,,
1,c_Tag_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,2.3417,0.4938,-2.5152,7.1986,FALSE,Very Small (0.17),21.4016,13.4703,1.1953
0,,,,,,,,,,,
1,2,4,-0.795,0.9,-5.9686,4.3786,FALSE,Very Small (-0.06),23.7432,14.482,1.6835
0,,,,,,,,,,,
1,3,4,-3.1367,0.4051,-8.88,2.6067,FALSE,Small (-0.21),20.6066,14.8496,1.9013
0,,,,,,,,,,,
1,c_SVD_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,1.1327,0.8134,-3.4837,5.7491,FALSE,Very Small (0.08),22.8268,14.2155,1.2614
0,,,,,,,,,,,
1,2,4,0.5175,0.9,-4.3999,5.4349,FALSE,Very Small (0.04),23.9595,13.0305,1.5148
0,,,,,,,,,,,
1,3,4,-0.6152,0.9,-6.0742,4.8438,FALSE,Very Small (-0.05),23.3443,11.9595,1.5313
0,,,,,,,,,,,
1,c_Baseline_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.1268,0.9,-4.5243,4.2706,FALSE,None (-0.01),27.3701,12.9577,1.1498
0,,,,,,,,,,,
1,2,4,-0.8291,0.9,-5.5133,3.8551,FALSE,Very Small (-0.06),27.2432,12.4733,1.45
0,,,,,,,,,,,
1,3,4,-0.7023,0.9,-5.9023,4.4978,FALSE,Very Small (-0.06),26.541,12.6657,1.6217
0,,,,,,,,,,,
1,c_All_Picked,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0118,0.9,-0.3346,0.3109,FALSE,Very Small (-0.01),0.5118,0.9501,0.0843
0,,,,,,,,,,,
1,2,4,0.0784,0.8369,-0.2654,0.4221,FALSE,Very Small (0.08),0.5,0.864,0.1004
0,,,,,,,,,,,
1,3,4,0.0902,0.8257,-0.2915,0.4718,FALSE,Very Small (0.1),0.5902,0.9896,0.1267
0,,,,,,,,,,,
1,c_Title_Picked,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.0116,0.9,-0.2365,0.2597,FALSE,Very Small (0.01),0.2992,0.7272,0.0645
0,,,,,,,,,,,
1,2,4,-0.1517,0.3685,-0.416,0.1126,FALSE,Small (-0.24),0.3108,0.8428,0.098
0,,,,,,,,,,,
1,3,4,-0.1633,0.3913,-0.4567,0.1301,FALSE,Small (-0.23),0.1475,0.5111,0.0654
0,,,,,,,,,,,
1,c_Image_Picked,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0616,0.739,-0.2666,0.1434,FALSE,Very Small (-0.11),0.2913,0.6057,0.0537
0,,,,,,,,,,,
1,2,4,-0.0127,0.9,-0.231,0.2057,FALSE,Very Small (-0.02),0.2297,0.5114,0.0595
0,,,,,,,,,,,
1,3,4,0.049,0.8719,-0.1935,0.2914,FALSE,Very Small (0.08),0.2787,0.6616,0.0847
0,,,,,,,,,,,
1,c_Plot_Picked,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0243,0.9,-0.2714,0.2229,FALSE,Very Small (-0.03),0.4567,0.7843,0.0696
0,,,,,,,,,,,
1,2,4,-0.1288,0.4837,-0.3921,0.1345,FALSE,Very Small (-0.19),0.4324,0.7038,0.0818
0,,,,,,,,,,,
1,3,4,-0.1046,0.6618,-0.3968,0.1877,FALSE,Very Small (-0.16),0.3279,0.5692,0.0729
0,,,,,,,,,,,
1,c_Genre_Picked,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.2694,0.0469,0.0029,0.536,TRUE,Small (0.37),0.2441,0.6005,0.0533
0,,,,,,,,,,,
1,2,4,0.3297,0.0181,0.0457,0.6136,TRUE,Small (0.41),0.5135,0.8479,0.0986
0,,,,,,,,,,,
1,3,4,0.0603,0.8865,-0.255,0.3755,FALSE,Very Small (0.07),0.5738,0.974,0.1247
0,,,,,,,,,,,
1,c_Stars_Picked,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0109,0.9,-0.2657,0.244,FALSE,Very Small (-0.01),0.3622,0.842,0.0747
0,,,,,,,,,,,
1,2,4,-0.1163,0.5665,-0.3878,0.1552,FALSE,Very Small (-0.16),0.3514,0.6911,0.0803
0,,,,,,,,,,,
1,3,4,-0.1054,0.6724,-0.4068,0.1959,FALSE,Very Small (-0.17),0.2459,0.5371,0.0688
0,,,,,,,,,,,
1,c_Director_Picked,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.0727,0.842,-0.2515,0.3969,FALSE,Very Small (0.08),0.5354,0.8338,0.074
0,,,,,,,,,,,
1,2,4,0.2023,0.3534,-0.1431,0.5476,FALSE,Small (0.2),0.6081,0.9189,0.1068
0,,,,,,,,,,,
