1,group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,2,4,-0.1628,0.5184,-0.5133,0.1878,FALSE,Very Small (-0.16),4.1176,1.0512,0.114
0,,,,,,,,,,,
1,3,4,-0.2669,0.2404,-0.6558,0.122,FALSE,Small (-0.24),3.8507,1.171,0.1431
0,,,,,,,,,,,
1,c_outc_listSatAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.0147,0.9,-0.2348,0.2641,FALSE,Very Small (0.02),3.9595,0.694,0.057
0,,,,,,,,,,,
1,2,4,-0.0908,0.6909,-0.3607,0.1791,FALSE,Very Small (-0.12),3.9741,0.8916,0.0967
0,,,,,,,,,,,
1,3,4,-0.1055,0.6697,-0.4049,0.194,FALSE,Very Small (-0.12),3.8687,0.8004,0.0978
0,,,,,,,,,,,
1,q_outc_diversity,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.0177,0.9,-0.2727,0.3082,FALSE,Very Small (0.02),3.8176,0.9113,0.0749
0,,,,,,,,,,,
1,2,4,-0.1161,0.6465,-0.4303,0.1982,FALSE,Very Small (-0.13),3.8353,0.9109,0.0988
0,,,,,,,,,,,
1,3,4,-0.1338,0.6271,-0.4825,0.2149,FALSE,Very Small (-0.15),3.7015,0.8879,0.1085
0,,,,,,,,,,,
1,q_outc_novelty,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0296,0.9,-0.3643,0.3052,FALSE,Very Small (-0.03),3.8649,0.9942,0.0817
0,,,,,,,,,,,
1,2,4,-0.1932,0.4226,-0.5554,0.1689,FALSE,Very Small (-0.19),3.8353,1.1217,0.1217
0,,,,,,,,,,,
1,3,4,-0.1637,0.5953,-0.5655,0.2382,FALSE,Very Small (-0.15),3.6716,1.0501,0.1283
0,,,,,,,,,,,
1,q_outc_serendipity,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.037,0.9,-0.2901,0.3641,FALSE,Very Small (0.04),3.6689,0.9716,0.0799
0,,,,,,,,,,,
1,2,4,-0.1615,0.5294,-0.5154,0.1924,FALSE,Very Small (-0.16),3.7059,1.0559,0.1145
0,,,,,,,,,,,
1,3,4,-0.1984,0.4616,-0.5911,0.1942,FALSE,Very Small (-0.19),3.5075,1.0783,0.1317
0,,,,,,,,,,,
1,q_outc_relevance,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.1305,0.674,-0.5046,0.2435,FALSE,Very Small (-0.11),3.5541,1.1386,0.0936
0,,,,,,,,,,,
1,2,4,-0.4347,0.0319,-0.8394,-0.0299,TRUE,Small (-0.38),3.4235,1.2089,0.1311
0,,,,,,,,,,,
1,3,4,-0.3041,0.2495,-0.7532,0.1449,FALSE,Small (-0.26),3.1194,1.1745,0.1435
0,,,,,,,,,,,
1,q_proc_searchSim,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.4258,0.0512,-0.8533,0.0017,FALSE,Small (-0.32),2.7905,1.3515,0.1111
0,,,,,,,,,,,
1,2,4,-0.1786,0.6239,-0.6411,0.2839,FALSE,Very Small (-0.14),2.3647,1.3438,0.1458
0,,,,,,,,,,,
1,3,4,0.2472,0.4947,-0.2659,0.7604,FALSE,Very Small (0.19),2.6119,1.2787,0.1562
0,,,,,,,,,,,
1,q_proc_decidDiff,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.3094,0.198,-0.7321,0.1133,FALSE,Small (-0.23),3.027,1.2986,0.1067
0,,,,,,,,,,,
1,2,4,-0.2957,0.282,-0.753,0.1616,FALSE,Small (-0.23),2.7176,1.4194,0.154
0,,,,,,,,,,,
1,3,4,0.0137,0.9,-0.4937,0.5211,FALSE,Very Small (0.01),2.7313,1.2258,0.1498
0,,,,,,,,,,,
1,q_proc_recImprove,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0307,0.9,-0.3803,0.319,FALSE,Very Small (-0.03),3.4189,1.1249,0.0925
0,,,,,,,,,,,
1,2,4,-0.21,0.3936,-0.5883,0.1683,FALSE,Small (-0.2),3.3882,1.1453,0.1242
0,,,,,,,,,,,
1,3,4,-0.1793,0.5686,-0.599,0.2405,FALSE,Very Small (-0.17),3.209,0.9299,0.1136
0,,,,,,,,,,,
1,q_proc_control,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.2835,0.1662,-0.6511,0.0842,FALSE,Small (-0.24),3.5541,1.1022,0.0906
0,,,,,,,,,,,
1,2,4,-0.3899,0.0561,-0.7876,0.0079,FALSE,Small (-0.35),3.2706,1.2572,0.1364
0,,,,,,,,,,,
1,3,4,-0.1064,0.8193,-0.5477,0.3349,FALSE,Very Small (-0.09),3.1642,1.0954,0.1338
0,,,,,,,,,,,
1,q_proc_sorting,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0702,0.8776,-0.4249,0.2845,FALSE,Very Small (-0.06),3.5878,1.1061,0.0909
0,,,,,,,,,,,
1,2,4,-0.1401,0.6524,-0.5239,0.2437,FALSE,Very Small (-0.13),3.5176,1.1507,0.1248
0,,,,,,,,,,,
1,3,4,-0.0699,0.9,-0.4957,0.356,FALSE,Very Small (-0.06),3.4478,1.0486,0.1281
0,,,,,,,,,,,
1,q_dem_movieUsage,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.2147,0.6495,-0.7996,0.3702,FALSE,Very Small (-0.11),3.25,1.9303,0.1587
0,,,,,,,,,,,
1,2,4,-0.4291,0.2487,-1.0619,0.2037,FALSE,Small (-0.24),3.0353,1.809,0.1962
0,,,,,,,,,,,
1,3,4,-0.2144,0.7327,-0.9165,0.4877,FALSE,Very Small (-0.13),2.8209,1.5852,0.1937
0,,,,,,,,,,,
1,q_dem_onlineUsage,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.089,0.5819,-0.3021,0.1242,FALSE,Very Small (-0.14),1.6419,0.6702,0.0551
0,,,,,,,,,,,
1,2,4,0.2536,0.0271,0.023,0.4843,TRUE,Small (0.38),1.5529,0.6456,0.07
0,,,,,,,,,,,
1,3,4,0.3426,0.005,0.0867,0.5985,TRUE,Medium (0.52),1.8955,0.6772,0.0827
0,,,,,,,,,,,
1,c_dem_genderCat,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0399,0.8208,-0.2062,0.1264,FALSE,Very Small (-0.08),1.5811,0.5347,0.044
0,,,,,,,,,,,
1,2,4,-0.0736,0.5927,-0.2535,0.1063,FALSE,Very Small (-0.14),1.5412,0.5013,0.0544
0,,,,,,,,,,,
1,3,4,-0.0337,0.9,-0.2333,0.1659,FALSE,Very Small (-0.07),1.5075,0.5037,0.0615
0,,,,,,,,,,,
1,c_All_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.5711,0.9,-3.7321,4.8744,FALSE,Very Small (0.04),23.723,13.9994,1.1507
0,,,,,,,,,,,
1,2,4,0.6651,0.9,-3.9909,5.3211,FALSE,Very Small (0.05),24.2941,11.9222,1.2931
0,,,,,,,,,,,
1,3,4,0.0939,0.9,-5.0719,5.2597,FALSE,None (0.01),24.3881,13.9066,1.699
0,,,,,,,,,,,
1,c_Title_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.4492,0.9,-4.4229,3.5245,FALSE,Very Small (-0.04),25.4257,13.3931,1.1009
0,,,,,,,,,,,
1,2,4,1.1116,0.7958,-3.1878,5.4111,FALSE,Very Small (0.09),24.9765,11.3274,1.2286
0,,,,,,,,,,,
1,3,4,1.5608,0.7033,-3.2094,6.331,FALSE,Very Small (0.14),26.5373,11.3382,1.3852
0,,,,,,,,,,,
1,c_Image_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.3273,0.9,-3.8593,4.514,FALSE,Very Small (0.03),26.7432,12.6943,1.0435
0,,,,,,,,,,,
1,2,4,1.5403,0.686,-2.9895,6.0701,FALSE,Very Small (0.12),27.0706,13.2807,1.4405
0,,,,,,,,,,,
1,3,4,1.213,0.819,-3.8128,6.2388,FALSE,Very Small (0.09),28.2836,13.5667,1.6574
0,,,,,,,,,,,
1,c_Plot_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-2.0365,0.4471,-5.9847,1.9117,FALSE,Very Small (-0.16),25.2365,12.7543,1.0484
0,,,,,,,,,,,
1,2,4,-0.4305,0.9,-4.7024,3.8413,FALSE,Very Small (-0.04),23.2,12.6112,1.3679
0,,,,,,,,,,,
1,3,4,1.606,0.6876,-3.1336,6.3455,FALSE,Very Small (0.14),24.806,10.8533,1.3259
0,,,,,,,,,,,
1,c_Genre_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.2293,0.9,-3.9264,4.3849,FALSE,Very Small (0.02),23.8649,12.588,1.0347
0,,,,,,,,,,,
1,2,4,1.0456,0.8308,-3.4507,5.5418,FALSE,Very Small (0.08),24.0941,12.7556,1.3835
0,,,,,,,,,,,
1,3,4,0.8163,0.9,-4.1722,5.8049,FALSE,Very Small (0.06),24.9104,14.004,1.7109
0,,,,,,,,,,,
1,c_Stars_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.2072,0.9,-4.2535,3.839,FALSE,Very Small (-0.02),25.1014,12.3535,1.0155
0,,,,,,,,,,,
1,2,4,0.9584,0.8492,-3.4195,5.3362,FALSE,Very Small (0.07),24.8941,12.4557,1.351
0,,,,,,,,,,,
1,3,4,1.1656,0.8208,-3.6917,6.0228,FALSE,Very Small (0.09),26.0597,13.3971,1.6367
0,,,,,,,,,,,
1,c_Director_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.8435,0.8723,-3.3371,5.0241,FALSE,Very Small (0.06),23.7095,12.9222,1.0622
0,,,,,,,,,,,
1,2,4,-1.6796,0.6438,-6.2029,2.8437,FALSE,Very Small (-0.13),24.5529,13.9331,1.5113
0,,,,,,,,,,,
1,3,4,-2.5231,0.4653,-7.5416,2.4954,FALSE,Very Small (-0.19),22.0299,12.093,1.4774
0,,,,,,,,,,,
1,c_Date_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.1852,0.9,-4.2726,3.9022,FALSE,Very Small (-0.01),28.0676,12.4374,1.0223
0,,,,,,,,,,,
1,2,4,-1.9183,0.5597,-6.3407,2.5041,FALSE,Very Small (-0.15),27.8824,12.841,1.3928
0,,,,,,,,,,,
1,3,4,-1.7331,0.6682,-6.6397,3.1735,FALSE,Very Small (-0.13),26.1493,13.3078,1.6258
0,,,,,,,,,,,
1,c_Tag_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,1.7166,0.6348,-2.8245,6.2577,FALSE,Very Small (0.12),21.8716,13.7689,1.1318
0,,,,,,,,,,,
1,2,4,-0.5731,0.9,-5.4864,4.3402,FALSE,Very Small (-0.04),23.5882,14.2998,1.551
0,,,,,,,,,,,
1,3,4,-2.2897,0.5782,-7.741,3.1615,FALSE,Very Small (-0.16),21.2985,14.8457,1.8137
0,,,,,,,,,,,
1,c_SVD_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.5599,0.9,-4.9297,3.8098,FALSE,Very Small (-0.04),24.0541,14.6258,1.2022
0,,,,,,,,,,,
1,2,4,0.3042,0.9,-4.4237,5.032,FALSE,Very Small (0.02),23.4941,12.7836,1.3866
0,,,,,,,,,,,
1,3,4,0.8641,0.9,-4.3815,6.1096,FALSE,Very Small (0.07),24.3582,12.3125,1.5042
0,,,,,,,,,,,
1,c_Baseline_IndexAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.2498,0.9,-4.4542,3.9547,FALSE,Very Small (-0.02),27.2027,13.4892,1.1088
0,,,,,,,,,,,
1,2,4,-1.0236,0.841,-5.5727,3.5255,FALSE,Very Small (-0.08),26.9529,12.6405,1.3711
0,,,,,,,,,,,
1,3,4,-0.7738,0.9,-5.821,4.2733,FALSE,Very Small (-0.06),26.1791,12.8593,1.571
0,,,,,,,,,,,
1,c_All_Picked,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0412,0.9,-0.3334,0.251,FALSE,Very Small (-0.05),0.5,0.9368,0.077
0,,,,,,,,,,,
1,2,4,0.0373,0.9,-0.2789,0.3535,FALSE,Very Small (0.04),0.4588,0.8245,0.0894
0,,,,,,,,,,,
1,3,4,0.0785,0.8427,-0.2723,0.4293,FALSE,Very Small (0.09),0.5373,0.9587,0.1171
0,,,,,,,,,,,
1,c_Title_Picked,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.1145,0.5625,-0.3799,0.1508,FALSE,Very Small (-0.14),0.3851,0.8999,0.074
0,,,,,,,,,,,
1,2,4,-0.1613,0.3848,-0.4484,0.1258,FALSE,Small (-0.2),0.2706,0.7926,0.086
0,,,,,,,,,,,
1,3,4,-0.0467,0.9,-0.3652,0.2718,FALSE,Very Small (-0.06),0.2239,0.6924,0.0846
0,,,,,,,,,,,
1,c_Image_Picked,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.1108,0.448,-0.3259,0.1043,FALSE,Very Small (-0.17),0.3108,0.7546,0.062
0,,,,,,,,,,,
1,2,4,0.0026,0.9,-0.2301,0.2354,FALSE,None (0.0),0.2,0.483,0.0524
0,,,,,,,,,,,
1,3,4,0.1134,0.5522,-0.1448,0.3717,FALSE,Very Small (0.19),0.3134,0.6789,0.0829
0,,,,,,,,,,,
1,c_Plot_Picked,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.1122,0.52,-0.1301,0.3546,FALSE,Very Small (0.14),0.4054,0.7545,0.062
0,,,,,,,,,,,
1,2,4,-0.077,0.7482,-0.3392,0.1851,FALSE,Very Small (-0.12),0.5176,0.8812,0.0956
0,,,,,,,,,,,
1,3,4,-0.1893,0.2774,-0.4802,0.1016,FALSE,Small (-0.26),0.3284,0.5611,0.0685
0,,,,,,,,,,,
1,c_Genre_Picked,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.2053,0.1409,-0.0494,0.4601,FALSE,Small (0.27),0.277,0.7078,0.0582
0,,,,,,,,,,,
1,2,4,0.2603,0.0688,-0.0153,0.5359,FALSE,Small (0.31),0.4824,0.8108,0.0879
0,,,,,,,,,,,
1,3,4,0.055,0.9,-0.2508,0.3608,FALSE,Very Small (0.06),0.5373,0.9427,0.1152
0,,,,,,,,,,,
1,c_Stars_Picked,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.0386,0.9,-0.2064,0.2836,FALSE,Very Small (0.05),0.3378,0.8211,0.0675
0,,,,,,,,,,,
1,2,4,-0.0244,0.9,-0.2895,0.2407,FALSE,Very Small (-0.03),0.3765,0.7396,0.0802
0,,,,,,,,,,,
1,3,4,-0.063,0.8554,-0.3572,0.2311,FALSE,Very Small (-0.09),0.3134,0.6562,0.0802
0,,,,,,,,,,,
1,c_Director_Picked,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0284,0.9,-0.3637,0.307,FALSE,Very Small (-0.03),0.6284,1.0645,0.0875
0,,,,,,,,,,,
1,2,4,0.0731,0.8727,-0.2897,0.436,FALSE,Very Small (0.07),0.6,0.9537,0.1034
0,,,,,,,,,,,
